name,centroid_lat,centroid_lon,drainage_area,elevation_mean,elevation_min,elevation_max
1423000,4698648.1573,15393.8842,868.9162,592.0542,362.0006,1014.828
142400103,4693077.1121,-17534.7467,55.9363,525.6878,350.1976,663.4813
1434021,4664510.9844,51264.747,8.741,919.2087,694.954,1240.0834
1434017,4659438.1569,46655.227,71.6216,773.3652,491.668,1266.2322
1434498,4663073.9809,43362.7305,89.5421,785.5372,492.7182,1246.523
1434025,4666000.0103,45786.6128,9.9934,869.5675,623.8598,1116.3872
143400680,4660469.329,49039.5058,50.8728,818.0954,571.614,1267.6022
1435000,4660500.705,43705.2738,183.9404,757.3876,439.8303,1267.6244
1440000,4578427.348,13785.1665,171.815,272.3568,100.0586,487.4948
1440485,4569036.8467,-33486.9588,24.4395,456.93,259.9261,617.1215
1440400,4578562.2422,-23751.7538,180.1208,425.3876,180.5781,662.5506
1439500,4580312.3314,-11243.7589,307.7409,385.803,125.432,623.7922
1442500,4565948.0778,-28141.9527,683.7458,346.9765,91.9597,664.0667
1447500,4582703.2894,-48864.6489,243.6176,554.7454,432.3618,686.7204
1447720,4572505.115,-43354.4019,309.6688,564.9999,460.014,675.5465
1447680,4564867.9864,-43649.309,54.4546,572.303,540.868,671.2334
1448500,4563066.7988,-50109.8302,12.7146,547.6364,477.19,672.1639
1451800,4522605.3591,-65215.3669,150.2735,202.2396,105.577,469.522
1451650,4508582.03,-58484.5421,257.1174,154.5335,74.3302,375.4779
1449360,4552975.9205,-44809.0424,134.4891,320.8685,198.6261,612.0727
1450500,4542598.7719,-44688.3398,204.7275,262.6348,116.7645,514.1898
1452000,4520932.9104,-62262.7672,214.5903,183.5536,74.9933,468.5068
1451500,4507612.1177,-59407.6392,214.8718,160.8504,77.7964,373.7159
1452500,4525685.1853,-38661.97,128.4703,144.0828,33.2357,285.4343
1465500,4475006.1304,-18959.5275,542.1808,92.4942,-46.2906,208.1397
1464500,4451034.4515,28970.9351,212.6193,35.3553,8.378,83.7558
1465798,4456768.221,-10506.566,56.1882,40.7796,0.7551,91.567
1475300,4450964.649,-49152.8331,17.2007,128.6816,75.0376,168.2172
1467086,4454613.8512,-22982.8775,44.5231,75.8862,17.7525,129.4044
1467000,4435614.0448,28924.1635,309.3051,34.4383,7.975,63.7301
1466900,4432888.9471,30816.2834,194.8128,37.524,10.9169,63.866
1465850,4431355.6313,15736.796,174.8259,22.9739,1.5416,49.1719
1475850,4448814.3407,-52338.4069,42.1276,127.035,62.7498,181.1283
1467081,4435570.2365,-9835.1561,23.8579,18.808,4.7291,35.016
1477120,4413893.3092,-32027.3023,68.3035,31.2289,2.5275,63.5196
1477000,4438259.0741,-55987.6001,172.8438,96.7858,-57.6429,185.3894
1467150,4429163.0428,-12728.3822,44.6271,25.7422,3.3559,60.0275
1480675,4463357.8754,-76845.4598,22.6217,181.929,131.5186,257.5415
1480300,4460162.4875,-89208.6634,50.2442,220.517,179.6295,327.484
1480617,4454430.7156,-86310.3063,144.2881,193.1312,82.3047,330.902
1479820,4432539.6984,-74947.8724,77.6207,111.6793,51.5272,167.9564
1478245,4429258.1525,-82867.5889,154.9448,119.4053,36.5127,203.0741
1477800,4424311.4942,-58903.6518,22.2339,73.6404,0.799,129.001
1479000,4425308.6204,-80829.2113,236.5383,97.388,2.6431,201.5052
1478650,4427897.8902,-82479.1398,178.9257,112.8478,18.884,202.4342
1478000,4413798.4034,-81198.6587,64.1809,52.4688,5.0437,134.3954
1481000,4449427.5283,-78054.3422,751.747,149.3748,5.5037,329.0694
1483200,4376737.0631,-76468.1734,11.5098,18.5894,2.3078,24.6171
1481500,4447540.1351,-76645.0504,830.9805,143.9247,5.5084,334.8609
1470756,4516252.6823,-77212.7095,412.4589,198.6859,94.163,501.4646
1470500,4529649.8769,-99551.5484,934.9583,309.3392,96.764,635.0378
1472198,4498650.2515,-54099.4705,98.6789,188.9304,87.6297,340.7448
1472199,4494593.3609,-60110.4864,61.2986,206.3385,87.4658,360.3729
1471875,4494528.1491,-72249.3635,150.191,197.5402,80.2784,360.2856
1471980,4491317.0017,-71162.9748,225.1199,177.282,45.4788,360.6856
1472810,4485218.8378,-36292.3704,154.4985,122.6333,26.6845,208.1892
1473900,4464995.3113,-29882.6675,105.5689,91.8344,45.0266,148.6167
1473169,4454522.9374,-56314.5426,54.8336,107.4402,31.3403,215.3274
1472620,4492149.0141,-28847.8524,16.9668,126.4162,100.6252,171.6724
1473000,4488967.2858,-49354.4001,727.8593,142.1245,-4.6923,362.6772
1472157,4467603.951,-72536.3329,158.9027,158.5931,42.169,303.6105
1474000,4461477.2187,-29876.3016,165.7524,86.3939,5.9017,148.7595
1470779,4492903.4064,-117090.5317,186.2692,159.1404,83.3931,416.8446
1470853,4488151.9464,-109236.1367,11.0876,307.2897,155.6756,414.988
1474500,4494167.9371,-75304.9992,4923.7331,169.7403,-85.4666,635.2978
1483700,4356940.9075,-70248.372,86.565,15.0602,0.4297,23.2777
1484100,4325531.6165,-66434.1599,7.4381,16.1081,11.2531,18.8939
1411456,4409465.2419,-21264.3963,33.3944,39.2903,29.2859,49.0265
1412800,4393019.318,-37854.2888,73.2335,31.2876,8.972,43.4199
1411500,4401546.4497,-21198.5972,294.6229,34.7245,14.2825,53.8729
